Incident Report Number,Crime Type,Date,Time,Location Type,Address,Longitude,Latitude,Neighborhood
20165031527,LOST PROP,8/1/16,1130,,8500 BLOCK RESEARCH BLVD SVRD SB,,,
20162170338,BURGLARY INFORMATION,8/4/16,734,,2100 BLOCK MATTHEWS LN,,,
20162150297,BURGLARY OF RESIDENCE,8/2/16,1049,,4600 BLOCK SMALL DR,,,
20162241196,BURGLARY OF RESIDENCE,8/11/16,1701,,6000 BLOCK WOODROW AVE,,,
20162140984,BURGLARY NON RESIDENCE,8/1/16,1757,,400 BLOCK E BEN WHITE BLVD SVRD EB,,,
20165032225,VIOL CITY ORDINANCE - WRECKER,8/5/16,1505,,400 BLOCK W MARTIN LUTHER KING JR BLVD,,,
20162181397,DRIVING WHILE LICENSE INVALID,8/5/16,1743,,1500 BLOCK RIO GRANDE ST,,,
20162141584,DRIVING WHILE LICENSE INVALID,8/1/16,2138,,11500 BLOCK N FM 620 RD,,,
20162241164,AGG ASSAULT,8/11/16,1646,,8800 BLOCK N IH 35 NB,,,
20162220437,ACCIDENTAL INJURY,8/9/16,912,,4000 BLOCK W BRAKER LN,,,
20165032687,SALVAGE INSPECTION,8/9/16,1003,,800 BLOCK SPRINGDALE RD,,,
20162201142,DEATH DUE TO NATURAL CAUSES,8/7/16,1717,,5400 BLOCK WELLINGTON DR,,,
20165033946,THEFT,8/16/16,1900,,9000 BLOCK QUAIL CREEK DR,,,
20165031551,HARASSMENT,8/1/16,1245,,9500 BLOCK SOUTHPARK MEADOWS DR,,,
20162230187,CRIMINAL MISCHIEF,8/10/16,305,,200 BLOCK E ANDERSON LN SVRD WB,,,
20162180767,AUTO THEFT,8/5/16,1151,,4200 BLOCK S CONGRESS AVE,,,
20162271136,BURGLARY OF RESIDENCE,8/11/16,900,,800 BLOCK E SLAUGHTER LN,,,
20165032308,HARASSMENT,8/6/16,817,,4800 BLOCK DOVE SPRINGS DR,,,
20162210597,CRIMINAL MISCHIEF,8/8/16,1018,,8500 BLOCK CAHILL DR,,,
20165032931,THEFT OF AUTO PARTS,8/10/16,800,,11500 BLOCK BURNET RD,,,
20165032014,BURGLARY OF VEHICLE,8/3/16,2300,,2500 BLOCK ENFIELD RD,,,
20162160963,AUTO THEFT,8/2/16,2330,,2900 BLOCK BARTON SKWY,,,
20165032670,BURGLARY OF VEHICLE,8/9/16,300,,7200 BLOCK CREEKSIDE DR,,,
20162281381,CRUELTY TO ANIMALS,8/15/16,2000,,300 BLOCK OAK PLZ,,,
20162141764,AGG ROBBERY/DEADLY WEAPON,8/1/16,2322,,4900 BLOCK BURNET RD,,,
20162150232,BURGLARY OF RESIDENCE,8/1/16,1630,,1300 BLOCK CROSSING PL,,,
20162280134,BURGLARY OF RESIDENCE,8/15/16,238,,2500 BLOCK E OLTORF ST,,,
20162161077,BURGLARY OF RESIDENCE,8/3/16,1641,,6400 BLOCK HERGOTZ LN,,,
20162230069,BURGLARY OF RESIDENCE,8/10/16,927,,2500 BLOCK HUNTWICK DR,,,
20165032522,BURGLARY OF VEHICLE,8/6/16,0,,900 BLOCK N MEADOWS DR,,,
20162220501,MISSING ADULT,8/9/16,914,,1100 BLOCK BEGONIA TER,,,
20162290594,CRASH/FAIL STOP AND RENDER AID,8/16/16,640,,7200 BLOCK N LAMAR BLVD,,,
20162161639,SEXUAL ASSAULT W/ OBJECT,8/3/16,2112,,12100 BLOCK N LAMAR BLVD,,,
20162191193,CRASH/FAIL STOP AND RENDER AID,8/6/16,1120,,JOLLYVILLE RD / W BRAKER LN,-97.74886938,30.40069584,
20162231336,SUSPICIOUS PERSON,8/10/16,1739,,2300 BLOCK STRATFORD DR,,,
20165033502,CRIMINAL MISCHIEF,8/15/16,736,,8600 BLOCK SOHO DR,,,
20165033149,THEFT BY SHOPLIFTING,8/11/16,1830,,6900 BLOCK BRODIE LN,,,
20165031975,JUNKED/NUISANCE VEHICLE,8/4/16,919,,2400 BLOCK BENDING TRL,,,
20165033068,SEXUAL ASSAULT INFORMATION,8/11/16,1223,,2200 BLOCK W 35TH ST,,,
20162220200,AUTO THEFT,8/9/16,200,,2200 BLOCK WILLOW CREEK DR,,,
20162220500,AUTO THEFT,8/9/16,911,,4300 BLOCK GILLIS ST,,,
20162250071,ASSAULT W/INJURY-FAM/DATE VIOL,8/12/16,117,,1700 BLOCK E OLTORF ST,,,
20162270581,THEFT,8/13/16,2230,,1900 BLOCK W RUNDBERG LN,,,
20165032782,CRIMINAL MISCHIEF,8/8/16,1900,,8000 BLOCK GEORGIAN DR,,,
20165032537,THEFT OF BICYCLE,8/7/16,1200,,800 BLOCK FAIRFIELD DR,,,
20165033241,CRIMINAL MISCHIEF,8/12/16,1355,,10700 BLOCK LAKE CREEK PKWY,,,
20165032887,CRIMINAL MISCHIEF,8/9/16,2350,,1900 BLOCK ALBURY CV,,,
20162191556,CRIMINAL MISCHIEF,8/6/16,2135,,1900 BLOCK MAGAZINE ST,,,
20162271583,CRIMINAL MISCHIEF,8/14/16,2241,,10000 BLOCK WOODLAND VILLAGE DR,,,
20165033256,THEFT,8/11/16,1200,,8400 BLOCK E US 290 HWY SVRD WB,,,
20168003615,THEFT OF BICYCLE,8/1/16,715,,2400 BLOCK KRAMER LN,,,
20165033187,THEFT,8/12/16,0,,6500 BLOCK CHAMPION GRANDVIEW WAY,,,
20162170889,CRIMINAL MISCHIEF,8/4/16,1621,,12200 BLOCK RESEARCH BLVD SB,,,
20165032512,CRIMINAL MISCHIEF,8/7/16,1900,,8500 BLOCK CAHILL DR,,,
20165032259,THEFT BY SHOPLIFTING,8/5/16,1614,,10500 BLOCK N MOPAC EXPY NB,,,
20165033210,CRIMINAL MISCHIEF,8/11/16,1800,,1000 BLOCK SOLANO DR,,,
20165031828,CRIMINAL MISCHIEF,8/2/16,2330,,12600 BLOCK HYMEADOW DR,,,
20165033577,THEFT,8/8/16,1600,,10500 BLOCK N MOPAC EXPY SVRD NB,,,
20165032552,THEFT,8/7/16,830,,10100 BLOCK DIANELLA LN,,,
20162160804,CRIMINAL MISCHIEF,8/3/16,1240,,10400 BLOCK RESEARCH BLVD SVRD SB,,,
20165032785,GRAFFITI,8/9/16,1500,,1600 BLOCK COLONY CREEK DR,,,
20162211222,ARSON INFORMATION,8/8/16,1710,,7300 BLOCK GRAND CANYON DR,,,
20165033265,ASSAULT BY THREAT,8/10/16,2030,,1700 BLOCK E BRAKER LN,,,
20162180603,ASSAULT BY CONTACT,8/5/16,1019,,1700 BLOCK BRIARCLIFFE BLVD,,,
20165033688,ASSAULT BY THREAT,8/14/16,1045,,1100 BLOCK BRIARGATE DR,,,
20162270083,ASSAULT BY CONTACT,8/14/16,40,,1300 BLOCK COLONY CREEK DR,,,
20162170902,CRIMINAL TRESPASS NOTICE,8/5/16,704,,11900 BLOCK PAVILION BLVD,,,
20162220066,ASSAULT BY CONTACT,8/8/16,2340,,12200 BLOCK N MOPAC EXPY SVRD NB,,,
20162211807,CRIMINAL MISCHIEF,8/8/16,2251,,1300 BLOCK RADCLIFF DR,,,
20162201351,DECEASED PERSON,8/7/16,1936,,10000 BLOCK S 1ST ST,,,
20162160434,DECEASED PERSON,8/3/16,821,,1600 BLOCK MIRIAM AVE,,,
20162250074,ROBBERY INFORMATION,8/12/16,51,,9900 BLOCK QUAIL BLVD,,,
20162200328,ASSAULT W/INJURY-FAM/DATE VIOL,8/7/16,400,,300 BLOCK W RUNDBERG LN,,,
20162271657,ASSAULT W/INJURY-FAM/DATE VIOL,8/14/16,2220,,9000 BLOCK NORTHGATE BLVD,,,
20162241737,CRIMINAL TRESPASS,8/11/16,2200,,5400 BLOCK CAMERON RD,,,
20162230432,AUTO THEFT,8/9/16,2000,,8700 BLOCK MOSQUERO CIR,,,
20162210957,AUTO THEFT,8/7/16,1330,,2100 BLOCK BURTON DR,,,
20165031901,THEFT OF LICENSE PLATE,8/3/16,1536,,2600 BLOCK GRACY FARMS LN,,,
20162281019,AUTO THEFT INFORMATION,8/15/16,1725,,10700 BLOCK PECAN PARK BLVD,,,
20162271381,AUTO THEFT,8/14/16,2001,,1700 BLOCK E WILLIAM CANNON DR,,,
20162170901,ASSIST OTHER POLICE AGENCY,8/2/16,1200,,100 BLOCK E RUNDBERG LN,,,
20165033394,CRIMINAL MISCHIEF,8/13/16,1300,,8000 BLOCK THAXTON RD,,,
20165032578,THEFT,8/7/16,30,,3500 BLOCK S LAMAR BLVD,,,
20162290378,DISTURBANCE - OTHER,8/16/16,901,,600 BLOCK BARWOOD PARK,,,
20162151692,DISTURBANCE - OTHER,8/2/16,2223,,12600 BLOCK HYMEADOW DR,,,
20162211832,DISTURBANCE - OTHER,8/8/16,2307,,12200 BLOCK N MOPAC EXPY SVRD NB,,,
20162280530,INJURY TO ELDERLY PERSON,8/15/16,1022,,2800 BLOCK REAL ST,,,
20162210012,PUBLIC LEWDNESS,8/8/16,156,,1200 BLOCK 1/2 W 38TH ST,,,
20168003739,THEFT,8/9/16,1630,,3400 BLOCK MOUNT BONNELL RD,,,
20162240636,BURGLARY NON RESIDENCE,8/11/16,1216,,13800 BLOCK CAMP COMFORT LN,,,
20162221035,AUTO THEFT,8/7/16,1200,,9000 BLOCK RESEARCH BLVD SVRD NB,,,
20165032756,LOST PROP,8/8/16,2254,,900 BLOCK E 32ND ST,,,
20162270562,CRIMINAL MISCHIEF,8/14/16,815,,10300 BLOCK MORADO CV,,,
20162200641,MISSING ADULT,8/7/16,957,,4800 BLOCK TANNEY ST,,,
20162211771,REQUEST TO LOCATE,8/4/16,0,,1000 BLOCK E RUNDBERG LN,,,
20162270385,ASSAULT  CONTACT-SEXUAL NATURE,8/14/16,400,,4800 BLOCK CARSONHILL DR,,,
20162140369,SEXUAL ASSAULT INFORMATION,8/1/16,746,,6600 BLOCK S IH 35 SVRD NB,,,
20162261070,FELONY ENHANCEMENT/ASSLT W/INJ,8/13/16,1505,,700 BLOCK CARPENTER AVE,,,
20165032912,THEFT,8/1/16,2200,,13700 BLOCK N FM 620 RD SB,,,
20162191214,ASSAULT W/INJURY-FAM/DATE VIOL,8/6/16,2218,,10900 BLOCK OPAL TRL,,,
20162241531,TERRORISTIC THREAT-FAM/DAT VIO,8/11/16,2110,,9400 BLOCK KEMPLER DR,,,
20165032419,THEFT,8/5/16,900,,10500 BLOCK S IH 35 SVRD NB,,,
20162200036,ASSAULT WITH INJURY,8/7/16,346,,12100 BLOCK N IH 35 SVRD NB,,,
20165032383,THEFT BY SHOPLIFTING,8/6/16,1958,,1800 BLOCK E 51ST ST,,,
20162291593,AGG ROBBERY/DEADLY WEAPON,8/16/16,2244,,6900 BLOCK MEADOR AVE,,,
20162240405,CRIMINAL TRESPASS,8/11/16,809,,1900 BLOCK E 7TH ST,,,
20162260215,ASSAULT BY CONTACT,8/13/16,224,,6400 BLOCK SPRINGDALE RD,,,
20162230270,BURGLARY NON RESIDENCE,8/10/16,546,,6300 BLOCK HAROLD CT,,,
20162150220,BURGLARY OF RESIDENCE,8/2/16,430,,1500 BLOCK REAGAN HILL DR,,,
20162241004,BURGLARY OF RESIDENCE,8/11/16,1520,,4900 BLOCK CASWELL AVE,,,
20165033840,CRIMINAL MISCHIEF,8/16/16,2030,,7800 BLOCK SHOAL CREEK BLVD,,,
20162150432,MISSING ADULT,8/1/16,800,,2100 BLOCK TOULOUSE DR,,,
20162160680,BURGLARY OF RESIDENCE,8/2/16,1830,,1500 BLOCK PEASE RD,,,
20162151900,BURGLARY INFORMATION,8/2/16,2330,,200 BLOCK W 55TH ST,,,
20162151318,DRIVING WHILE LICENSE INVALID,8/2/16,1827,,WAGON TRL / N LAMAR BLVD,-97.68895376,30.37739489,
20165032204,HARASSMENT,8/4/16,2200,,2100 BLOCK CINDY LN,,,
20165031650,APPLICATION FOR PERMIT OR LIC,8/2/16,1100,,3100 BLOCK GUADALUPE ST,,,
20162231879,ASSAULT WITH INJURY,8/10/16,2311,,W ELLIOTT ST / GUADALUPE ST,-97.70105278,30.35413628,
20162150843,SEXUAL ASSAULT W/ OBJECT,8/1/16,1400,,5700 BLOCK WESTMINSTER DR,,,
20162191841,REQUEST TO APPREHEND,8/7/16,22,,E 6TH ST / MEDINA,-97.73155596,30.26474531,
20162251349,FAMILY DISTURBANCE,8/12/16,1831,,5000 BLOCK ALLYSON CT,,,
20162270196,ASSAULT W/INJURY-FAM/DATE VIOL,8/14/16,150,,12700 BLOCK WITHERS WAY,,,
20162201201,AGG ASLT ENHANC STRANGL/SUFFOC,8/6/16,1800,,600 BLOCK W 7TH ST,,,
20162141055,ASSAULT W/INJURY-FAM/DATE VIOL,8/1/16,1547,,13100 BLOCK BENNINGTON LN,,,
20162240928,INTER EMERG PHONECALL FAM/DATE,8/11/16,1344,,5800 BLOCK TECHNI CENTER DR,,,
20162270928,UNAUTHORIZED USE OF VEH,8/14/16,1336,,6200 BLOCK N LAMAR BLVD,,,
20162210516,AGG ASSAULT,8/8/16,1012,,8600 BLOCK COASTAL DR,,,
20162151562,BURGLARY OF RESIDENCE,8/2/16,2050,,7200 BLOCK TEABERRY DR,,,
20165032164,HARASSMENT,8/5/16,1043,,6800 BLOCK KENOSHA PASS,,,
20165032256,CRIMINAL MISCHIEF,8/5/16,0,,8900 BLOCK CAPITOL VIEW DR,,,
20165032513,THEFT,8/6/16,1530,,S IH 35 SVRD SB / W SLAUGHTER LN,-97.78693052,30.167067,
20162191230,DOC DISPLAY FIREARM-PUB PLACE,8/6/16,1754,,6900 BLOCK N IH 35 SVRD NB,,,
20162161187,CRIMINAL MISCHIEF,8/2/16,1800,,1300 BLOCK SPYGLASS DR,,,
20165031622,BURGLARY OF VEHICLE,8/1/16,2100,,3100 BLOCK SUSQUEHANNA LN,,,
20162210865,CRUELTY TO ANIMALS,8/8/16,1309,,10200 BLOCK BROWNIE DR,,,
20162231558,DANGEROUS ANIMAL,8/10/16,1945,,2100 BLOCK W 49TH ST,,,
20162260367,FALSE REPORT TO PEACE OFFICER,8/13/16,400,,PARKFIELD DR / CRIPPLE CREEK DR,-97.70101271,30.37489529,
20162270911,BURGLARY OF RESIDENCE,8/13/16,700,,1800 BLOCK S LAKESHORE BLVD,,,
20162181425,BURGLARY OF RESIDENCE,8/5/16,245,,500 BLOCK E RIVERSIDE DR,,,
20162191380,REQUEST TO LOCATE,8/6/16,2209,,9100 BLOCK UNITED KINGDOM DR,,,
20162241437,INTERFERING W/EMERG PHONE CALL,8/11/16,2230,,9300 BLOCK S IH-35,,,
20162191144,AGG ASLT STRANGLE/SUFFOCATE,8/6/16,1808,,10500 BLOCK S IH 35 SVRD NB,,,
20162270223,CRASH/CITY VEHICLE,8/14/16,53,,3700 BLOCK S 2ND ST,,,
20162260319,CRASH/NO INJURY,8/13/16,302,,1100 BLOCK N IH 35 NB,,,
20165031815,CRASH/LEAVING THE SCENE,8/3/16,840,,E 2ND ST / BRUSHY ST,-97.73514809,30.26183408,
20162230994,CRASH/FAIL STOP AND RENDER AID,8/10/16,1409,,8100 BLOCK N MOPAC EXPY SVRD NB,,,
20162220486,CRASH/CITY VEHICLE,8/9/16,904,,4000 BLOCK JAMES CASEY ST,,,
20162211039,CRASH/LEAVING THE SCENE,8/8/16,1430,,RESEARCH BLVD SVRD NB / N LAMAR BLVD SVRD SB,-97.71253502,30.34834815,
20165033877,THEFT OF BICYCLE,8/16/16,1700,,2700 BLOCK S LAMAR BLVD,,,
20165033430,THEFT,8/14/16,920,,3900 BLOCK S CONGRESS AVE,,,
20165033038,THEFT,8/8/16,1026,,8500 BLOCK SHOAL CREEK BLVD,,,
20165032144,AUTO THEFT,8/4/16,2310,,7700 BLOCK WAKEFIELD DR,,,
20162260872,AUTO THEFT,8/12/16,1800,,3400 BLOCK S LAMAR BLVD,,,
20162250662,AUTO THEFT,8/12/16,200,,6200 BLOCK CAPE CORAL DR,,,
20162271430,BURGLARY INFORMATION,8/14/16,2121,,4400 BLOCK QUICKSILVER BLVD,,,
20162181108,THEFT,8/5/16,1330,,15100 BLOCK N IH 35 SVRD NB,,,
20165033119,CRIMINAL MISCHIEF,8/9/16,1900,,8800 BLOCK RESEARCH BLVD NB,,,
20162171177,THEFT OF SERVICE,8/4/16,1718,,8000 BLOCK N IH 35 SVRD SB,,,
20162201779,THEFT BY SHOPLIFTING,8/8/16,32,,14000 BLOCK N US 183 HWY SVRD SB,,,
20165031903,THEFT,8/3/16,1500,,12500 BLOCK N IH 35 SVRD SB,,,
20165033756,THEFT INFORMATION,8/16/16,1343,,500 BLOCK CANYON RIDGE DR,,,
20165032634,THEFT BY CHECK,8/6/16,1800,,10500 BLOCK N MOPAC EXPY SVRD NB,,,
20162191429,CRIMINAL MISCHIEF,8/5/16,1730,,2800 BLOCK S LAKELINE BLVD,,,
20162170182,THEFT,8/4/16,317,,10100 BLOCK N LAMAR BLVD,,,
20162260547,ASSAULT BY CONTACT,8/13/16,910,,13600 BLOCK N IH 35 SVRD NB,,,
20162261128,OTHER FIRE,8/13/16,1551,,500 BLOCK E CESAR CHAVEZ ST,,,
20162190975,CRIMINAL TRESPASS/TRANSIENT,8/6/16,1429,,600 BLOCK CONGRESS AVE,,,
20162220186,ASSAULT BY THREAT,8/9/16,425,,9200 BLOCK ANDERSON MILL RD,,,
20162170497,CRIMINAL TRESPASS,8/4/16,930,,15500 BLOCK WAXLER CT,,,
20162261364,DECEASED PERSON,8/13/16,1939,,3000 BLOCK S CONGRESS AVE,,,
20162261471,SUICIDE,8/13/16,1942,,6000 BLOCK LEVANDER LOOP,,,
20162161333,TERRORISTIC THREAT,8/3/16,1733,,2300 BLOCK NEWFIELD LN,,,
20165033171,CHILD ABUSE INFORMATION,8/8/16,1700,,6700 BLOCK ARROYO SECO,,,
20162231037,COUNTERFEITING INFORMATION,8/10/16,1430,,2000 BLOCK E 3RD ST,,,
20162260477,SEXUAL ASSAULT INFORMATION,8/13/16,547,,6500 BLOCK N IH 35 SVRD NB,,,
20162220313,CRIMINAL TRESPASS,8/9/16,653,,500 BLOCK N IH 35 SVRD SB,,,
20162280531,OUT OF CITY AUTO THEFT,8/15/16,1022,,4400 BLOCK LAREINA DR,,,
20165031628,THEFT OF LICENSE PLATE,8/1/16,2220,,1300 BLOCK SPYGLASS DR,,,
20162290291,BURGLARY OF VEHICLE,8/15/16,700,,6500 BLOCK BLUFF SPRINGS RD,,,
20165031485,THEFT OF BICYCLE,8/1/16,900,,9400 BLOCK S 1ST ST,,,
20162210743,BURGLARY OF RESIDENCE,8/8/16,200,,11400 BLOCK RESEARCH BLVD SVRD NB,,,
20162170539,RAPE,8/4/16,400,,1700 BLOCK BURTON DR,,,
20162200248,RAPE,8/7/16,130,,2400 BLOCK E RIVERSIDE DR,,,
20165032730,CRIMINAL MISCHIEF,8/8/16,2234,,100 BLOCK E 5TH ST,,,
20162200553,AUTO THEFT,8/5/16,1400,,2900 BLOCK S CAPITAL OF TEXAS HWY NB,,,
20162150330,AUTO THEFT,8/1/16,2100,,11000 BLOCK DESERT WILLOW LOOP,,,
20162230141,DOC WINDOW PEEPING-RESIDENCE,8/10/16,211,,100 BLOCK W 38TH ST,,,
20165032315,CRIMINAL MISCHIEF,8/5/16,1845,,1900 BLOCK E WILLIAM CANNON DR,,,
20165031623,BURGLARY OF VEHICLE,8/1/16,1930,,9300 BLOCK BRANDTS WOOD ST,,,
20162220801,CRIMINAL TRESPASS,8/9/16,1232,,3000 BLOCK S LAMAR BLVD,,,
20162240979,OUT OF CITY AUTO THEFT,8/8/16,1117,,5500 BLOCK CORDELL LN,,,
20162251755,FRAUD - OTHER,8/12/16,1700,,BARTON SPRINGS RD / S LAMAR BLVD,-97.7585309,30.26085944,
20162221399,ASSAULT BY CONTACT FAM/DATING,8/9/16,1809,,200 BLOCK SAN JOSE ST,,,
20162200746,ASSAULT W/INJURY-FAM/DATE VIOL,8/7/16,1152,,1200 BLOCK E PARMER LN,,,
20162201504,DISTURBANCE - OTHER,8/7/16,2114,,900 BLOCK FIELDWOOD DR,,,
20162160486,DISTURBANCE - OTHER,8/3/16,852,,2400 BLOCK CROMWELL CIR,,,
20165033003,ASSAULT BY CONTACT,8/10/16,1933,,4100 BLOCK GUADALUPE ST,,,
20162250124,AGG ASSAULT,8/12/16,137,,700 BLOCK E 7TH ST,,,
20162280345,CRIMINAL TRESPASS,8/15/16,815,,6200 BLOCK LOYOLA LN,,,
20162190771,CRUELTY TO ANIMALS,8/6/16,1210,,4600 BLOCK NORWOOD LN,,,
20162271294,VIOL OF PROTECTIVE ORDER,8/14/16,1847,,3200 BLOCK JACK COOK DR,,,
20165032905,VIOL OF EMERG PROTECTIVE ORDER,8/10/16,1200,,4700 BLOCK E RIVERSIDE DR,,,
20165031887,VIOL OF PROTECTIVE ORDER,8/3/16,1514,,4200 BLOCK ED BLUESTEIN BLVD NB,,,
20162281000,BURGLARY OF RESIDENCE,8/9/16,1700,,2300 BLOCK W NORTH LOOP BLVD,,,
20162251218,BURGLARY OF RESIDENCE,8/11/16,2000,,2800 BLOCK SAN GABRIEL ST,,,
20162261028,BURGLARY OF RESIDENCE,8/12/16,1,,5300 BLOCK CHESTERFIELD AVE,,,
20162251698,BURGLARY OF RESIDENCE,8/12/16,2104,,7600 BLOCK CAMERON RD,,,
20162190854,BURGLARY INFORMATION,8/6/16,1330,,600 BLOCK S 1ST ST,,,
20162180464,DRIVING WHILE LICENSE INVALID,8/5/16,900,,100 BLOCK E POWELL LN,,,
20162200978,DRIVING WHILE LICENSE INVALID,8/7/16,1513,,4800 BLOCK TRAVIS COUNTRY CIR,,,
20162240203,CUSTODY ARREST TRAFFIC WARR,8/11/16,434,,6700 BLOCK ED BLUESTEIN BLVD SB,,,
20162161688,DRIVING WHILE LICENSE INVALID,8/3/16,2138,,800 BLOCK E RUNDBERG LN,,,
20162211549,RAPE,8/8/16,2149,,2500 BLOCK W SLAUGHTER LN,,,
20162190327,SEXUAL ASSAULT INFORMATION,8/6/16,100,,1900 BLOCK E RIVERSIDE DR,,,
20162281636,INDECENT EXPOSURE,8/15/16,2319,,2800 BLOCK SAN PEDRO ST,,,
20165032456,HARASSMENT,8/7/16,300,,1800 BLOCK CANON YEOMANS TRL,,,
20162210090,ASSAULT W/INJURY-FAM/DATE VIOL,8/8/16,130,,11900 BLOCK STONEHOLLOW DR,,,
20162220064,ASSAULT W/INJURY-FAM/DATE VIOL,8/9/16,59,,5700 BLOCK MANOR RD,,,
20162141472,DISTURBANCE - OTHER,8/1/16,1850,,5400 BLOCK N IH 35 SVRD NB,,,
20162161613,ASSAULT WITH INJURY,8/3/16,2047,,6600 BLOCK S IH 35 SVRD NB,,,
20162211265,LITTERING,8/8/16,1730,,500 BLOCK E BEN WHITE BLVD SVRD EB,,,
20162170682,THEFT BY SHOPLIFTING,8/4/16,1149,,700 BLOCK E BEN WHITE BLVD SVRD WB,,,
20162280774,BURGLARY INFORMATION,8/5/16,1200,,1100 BLOCK RUTLAND DR,,,
20162140325,TERRORISTIC THREAT,8/1/16,755,,2100 BLOCK RIO GRANDE ST,,,
20165032071,HARASSMENT,8/4/16,1545,,3500 BLOCK ALPINE CIR,,,
20165033278,CRUELTY TO ANIMALS,8/11/16,1000,,1300 BLOCK LAMAR SQUARE DR,,,
20165032348,BURGLARY OF VEHICLE,8/5/16,2100,,11700 BLOCK LARCH VALLEY DR,,,
20162220205,AGG ASLT STRANGLE/SUFFOCATE,8/9/16,409,,11400 BLOCK N IH 35 SVRD SB,,,
20162151877,CRIMINAL MISCHIEF,8/2/16,2317,,8500 BLOCK JAMESTOWN DR,,,
20162141871,SEXUAL ASSAULT INFORMATION,8/1/16,1915,,6300 BLOCK W SLAUGHTER LN,,,
20162250718,ASSAULT  CONTACT-SEXUAL NATURE,8/12/16,1115,,S PLEASANT VALLEY RD / S LAKESHORE BLVD,-97.7171496,30.24251243,
20165032019,CRASH/PRIVATE PROPERTY,8/4/16,500,,1300 BLOCK QUAKER RIDGE DR,,,
20162252016,ROBBERY BY ASSAULT,8/12/16,2330,,8600 BLOCK N LAMAR BLVD,,,
20162160200,THEFT INFORMATION,8/3/16,330,,600 BLOCK NECHES ST,,,
20165033198,CRIMINAL MISCHIEF,8/11/16,1900,,300 BLOCK BOWIE ST,,,
20162260409,AUTO THEFT,8/12/16,1800,,300 BLOCK BOWIE ST,,,
20162170277,AUTO THEFT,8/2/16,1900,,6200 BLOCK SNEED CV,,,
20162191281,AUTO THEFT,8/4/16,830,,13300 BLOCK N IH 35 SVRD SB,,,
20162190656,FOUND FIREARMS,8/6/16,1100,,W PARMER LN / ROLLING HILL DR,-97.68235485,30.40927321,
20162241934,CRIMINAL MISCHIEF,8/11/16,2344,,9000 BLOCK N LAMAR BLVD,,,
